datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/6/2015 5:00:00 AM,1/6/2015 12:00:00 AM,1/6/2015 6:00:00 AM,1/6/2015 1:00:00 AM,DUQ,1595
1/6/2015 6:00:00 AM,1/6/2015 1:00:00 AM,1/6/2015 7:00:00 AM,1/6/2015 2:00:00 AM,DUQ,1602
1/6/2015 7:00:00 AM,1/6/2015 2:00:00 AM,1/6/2015 8:00:00 AM,1/6/2015 3:00:00 AM,DUQ,1605
1/6/2015 8:00:00 AM,1/6/2015 3:00:00 AM,1/6/2015 9:00:00 AM,1/6/2015 4:00:00 AM,DUQ,1584
1/6/2015 9:00:00 AM,1/6/2015 4:00:00 AM,1/6/2015 10:00:00 AM,1/6/2015 5:00:00 AM,DUQ,1614
1/6/2015 10:00:00 AM,1/6/2015 5:00:00 AM,1/6/2015 11:00:00 AM,1/6/2015 6:00:00 AM,DUQ,1685
1/6/2015 11:00:00 AM,1/6/2015 6:00:00 AM,1/6/2015 12:00:00 PM,1/6/2015 7:00:00 AM,DUQ,1769
1/6/2015 12:00:00 PM,1/6/2015 7:00:00 AM,1/6/2015 1:00:00 PM,1/6/2015 8:00:00 AM,DUQ,1844
1/6/2015 1:00:00 PM,1/6/2015 8:00:00 AM,1/6/2015 2:00:00 PM,1/6/2015 9:00:00 AM,DUQ,1886
1/6/2015 2:00:00 PM,1/6/2015 9:00:00 AM,1/6/2015 3:00:00 PM,1/6/2015 10:00:00 AM,DUQ,1915
1/6/2015 3:00:00 PM,1/6/2015 10:00:00 AM,1/6/2015 4:00:00 PM,1/6/2015 11:00:00 AM,DUQ,1962
1/6/2015 4:00:00 PM,1/6/2015 11:00:00 AM,1/6/2015 5:00:00 PM,1/6/2015 12:00:00 PM,DUQ,1974
1/6/2015 5:00:00 PM,1/6/2015 12:00:00 PM,1/6/2015 6:00:00 PM,1/6/2015 1:00:00 PM,DUQ,1959
1/6/2015 6:00:00 PM,1/6/2015 1:00:00 PM,1/6/2015 7:00:00 PM,1/6/2015 2:00:00 PM,DUQ,1980
1/6/2015 7:00:00 PM,1/6/2015 2:00:00 PM,1/6/2015 8:00:00 PM,1/6/2015 3:00:00 PM,DUQ,1991
1/6/2015 8:00:00 PM,1/6/2015 3:00:00 PM,1/6/2015 9:00:00 PM,1/6/2015 4:00:00 PM,DUQ,1991
1/6/2015 9:00:00 PM,1/6/2015 4:00:00 PM,1/6/2015 10:00:00 PM,1/6/2015 5:00:00 PM,DUQ,1990
1/6/2015 10:00:00 PM,1/6/2015 5:00:00 PM,1/6/2015 11:00:00 PM,1/6/2015 6:00:00 PM,DUQ,2108
1/6/2015 11:00:00 PM,1/6/2015 6:00:00 PM,1/7/2015 12:00:00 AM,1/6/2015 7:00:00 PM,DUQ,2123
1/7/2015 12:00:00 AM,1/6/2015 7:00:00 PM,1/7/2015 1:00:00 AM,1/6/2015 8:00:00 PM,DUQ,2109
1/7/2015 1:00:00 AM,1/6/2015 8:00:00 PM,1/7/2015 2:00:00 AM,1/6/2015 9:00:00 PM,DUQ,2074
1/7/2015 2:00:00 AM,1/6/2015 9:00:00 PM,1/7/2015 3:00:00 AM,1/6/2015 10:00:00 PM,DUQ,2009
1/7/2015 3:00:00 AM,1/6/2015 10:00:00 PM,1/7/2015 4:00:00 AM,1/6/2015 11:00:00 PM,DUQ,1912
1/7/2015 4:00:00 AM,1/6/2015 11:00:00 PM,1/7/2015 5:00:00 AM,1/7/2015 12:00:00 AM,DUQ,1818
1/7/2015 5:00:00 AM,1/7/2015 12:00:00 AM,1/7/2015 6:00:00 AM,1/7/2015 1:00:00 AM,DUQ,1720
1/7/2015 6:00:00 AM,1/7/2015 1:00:00 AM,1/7/2015 7:00:00 AM,1/7/2015 2:00:00 AM,DUQ,1711
1/7/2015 7:00:00 AM,1/7/2015 2:00:00 AM,1/7/2015 8:00:00 AM,1/7/2015 3:00:00 AM,DUQ,1675
1/7/2015 8:00:00 AM,1/7/2015 3:00:00 AM,1/7/2015 9:00:00 AM,1/7/2015 4:00:00 AM,DUQ,1691
1/7/2015 9:00:00 AM,1/7/2015 4:00:00 AM,1/7/2015 10:00:00 AM,1/7/2015 5:00:00 AM,DUQ,1718
1/7/2015 10:00:00 AM,1/7/2015 5:00:00 AM,1/7/2015 11:00:00 AM,1/7/2015 6:00:00 AM,DUQ,1785
1/7/2015 11:00:00 AM,1/7/2015 6:00:00 AM,1/7/2015 12:00:00 PM,1/7/2015 7:00:00 AM,DUQ,1904
1/7/2015 12:00:00 PM,1/7/2015 7:00:00 AM,1/7/2015 1:00:00 PM,1/7/2015 8:00:00 AM,DUQ,2001
